"Algún contenido ha sido publicado.","Comentario creado","Curso visto","Entrega creada.","Finalización de actividad de curso actualizada","Formulario de entrega visto.","Ha comenzado el intento","Intento de cuestionario visualizado","Intento del cuestionario revisado","Intento enviado","Mensaje creado","Módulo de curso visto","Perfil de usuario visto","Resumen del intento de cuestionario visualizado","Se ha enviado una entrega","Se ha suscrito a esta discusión","Se ha visualizado el estado de la entrega.","Tema creado","Tema visto","Un fichero ha sido subido.","Usuario calificado","Lista de usuarios vista","Mensaje borrado","Se ha borrado la suscripción de esta discusión","Tema borrado","Informe de notas de usuario visto","Mensaje actualizado","Instancia del módulo del curso visualizada","Informe de resumen de notas visto","Lista de insignias vista","Envío actualizado.","Usuario matriculado en el curso","Elemento de calificación actualizado","Informe del usuario visualizado","Informe usuario del curso visto","Suscripción activada","Curso actualizado","Elemento de calificación creado",completo
"0","0","66","0","0","0","1","10","0","0","0","17","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","114","0","5","1","0","0","0","0","0","24","4","0","0","0","3","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0",0
"0","0","443","0","12","1","2","14","1","1","0","216","1","1","0","0","1","0","63","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","39","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","25","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","196","0","8","0","0","0","0","0","0","28","3","0","0","0","1","0","9","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",1
"0","0","30","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","238","0","10","0","1","2","0","0","0","39","2","0","0","0","2","0","31","0","0","4","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0",0
"0","0","255","0","15","0","1","2","2","1","0","72","11","1","0","0","5","0","25","0","1","3","0","0","0","10","0","0","1","0","0","0","0","2","1","0","0","0",1
"0","0","114","0","0","0","1","2","2","1","0","29","3","1","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"1","0","109","0","2","0","0","0","0","0","0","32","7","0","0","1","0","1","11","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","214","0","0","0","1","2","3","1","1","42","1","1","0","1","1","1","6","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1
"2","0","266","0","12","0","1","2","1","1","0","60","0","1","0","2","1","2","23","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","148","0","0","0","0","0","0","0","0","36","0","0","0","0","1","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","163","0","3","0","1","4","0","0","0","30","0","0","0","0","0","0","33","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","150","0","3","0","0","0","0","0","0","58","1","0","0","2","0","2","36","0","0","0","0","0","0","1","0","17","1","0","0","0","0","0","0","0","0","0",1
"1","0","170","0","0","0","1","3","2","1","0","33","2","1","0","1","0","1","24","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","26","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","21","0","2","0","1","5","1","1","0","12","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","108","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","48","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","228","0","10","0","1","14","0","0","2","69","8","0","0","1","6","0","39","0","0","3","0","0","0","3","0","1","1","2","0","0","0","0","0","0","0","0",1
"0","0","216","0","0","0","0","0","0","0","0","72","4","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"3","0","184","0","16","0","1","4","3","1","2","56","1","1","0","2","1","1","37","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","71","0","14","0","1","2","1","1","0","35","1","1","0","0","1","0","1","0","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","9","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","85","0","0","0","1","1","0","0","0","17","2","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1
"3","0","201","0","7","0","1","15","1","1","2","68","4","1","0","2","1","1","32","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","107","0","8","0","0","0","0","0","0","14","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","130","0","0","0","0","0","0","0","0","32","1","0","0","0","1","0","15","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1
"0","0","28","0","0","0","0","0","0","0","0","4","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","68","0","4","0","0","0","0","0","0","25","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"2","0","252","0","15","0","0","0","0","0","0","59","18","0","0","1","0","1","79","0","0","16","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1
"0","0","33","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0
"0","0","83","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
"0","0","82","0","0","0","0","0","0","0","0","7","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0
